year,class_id,class_name,count,proportion
2019,0,Forest,133373,76.05
2019,1,Shrubland/Agriculture,30405,17.34
2019,4,Water,7488,4.27
2019,2,Built-up,3224,1.84
2019,3,Bare/Mining-like,894,0.51
2020,0,Forest,135393,76.66
2020,1,Shrubland/Agriculture,30301,17.16
2020,4,Water,7522,4.26
2020,2,Built-up,2506,1.42
2020,3,Bare/Mining-like,902,0.51
2021,0,Forest,125595,77.08
2021,1,Shrubland/Agriculture,26591,16.32
2021,4,Water,7674,4.71
2021,2,Built-up,2283,1.4
2021,3,Bare/Mining-like,797,0.49
2022,0,Forest,129367,80.72
2022,1,Shrubland/Agriculture,20593,12.85
2022,4,Water,7072,4.41
2022,2,Built-up,2008,1.25
2022,3,Bare/Mining-like,1221,0.76
2023,0,Forest,124972,78.13
2023,1,Shrubland/Agriculture,22773,14.24
2023,4,Water,7278,4.55
2023,2,Built-up,3285,2.05
2023,3,Bare/Mining-like,1641,1.03
2024,0,Forest,119600,77.59
2024,1,Shrubland/Agriculture,24059,15.61
2024,4,Water,6903,4.48
2024,2,Built-up,2727,1.77
2024,3,Bare/Mining-like,848,0.55
