lon,lat,class_start,class_end,is_changed,transition_code,forest_loss,forest_gain,urbanization,mining_expansion
113.6167,-3.4922,4,4,0,4->4,0,0,0,0
113.6122,-3.4832,4,4,0,4->4,0,0,0,0
113.6077,-3.4742,3,4,1,3->4,0,0,0,0
113.6167,-3.4697,3,4,1,3->4,0,0,0,0
113.6212,-3.4697,3,4,1,3->4,0,0,0,0
113.6212,-3.4563,0,1,1,0->1,1,0,0,0
113.5583,-3.4473,4,4,0,4->4,0,0,0,0
113.5538,-3.4383,4,4,0,4->4,0,0,0,0
113.6257,-3.4383,0,1,1,0->1,1,0,0,0
113.6436,-3.4338,0,1,1,0->1,1,0,0,0
113.5673,-3.4293,3,4,1,3->4,0,0,0,0
113.6301,-3.4248,0,1,1,0->1,1,0,0,0
113.6436,-3.4248,0,1,1,0->1,1,0,0,0
113.5538,-3.4203,4,4,0,4->4,0,0,0,0
113.6346,-3.4114,0,0,0,0->0,0,0,0,0
113.5628,-3.4069,4,4,0,4->4,0,0,0,0
113.5628,-3.4024,3,4,1,3->4,0,0,0,0
113.6346,-3.3934,0,0,0,0->0,0,0,0,0
113.6167,-3.3709,0,4,1,0->4,1,0,0,0
113.5942,-3.3664,2,4,1,2->4,0,0,0,0
113.6346,-3.3664,0,0,0,0->0,0,0,0,0
113.6391,-3.3664,0,0,0,0->0,0,0,0,0
113.6167,-3.3619,3,4,1,3->4,0,0,0,0
113.6481,-3.3575,0,0,0,0->0,0,0,0,0
113.6122,-3.353,3,4,1,3->4,0,0,0,0
113.6571,-3.3485,0,1,1,0->1,1,0,0,0
113.3921,-3.344,4,3,1,4->3,0,0,0,1
113.6077,-3.344,2,4,1,2->4,0,0,0,0
113.6122,-3.344,3,4,1,3->4,0,0,0,0
113.6661,-3.344,1,1,0,1->1,0,0,0,0
113.6526,-3.3395,0,0,0,0->0,0,0,0,0
113.3831,-3.335,4,4,0,4->4,0,0,0,0
113.6571,-3.335,1,0,1,1->0,0,1,0,0
113.6032,-3.3305,3,4,1,3->4,0,0,0,0
113.6481,-3.326,0,0,0,0->0,0,0,0,0
113.6167,-3.3215,4,4,0,4->4,0,0,0,0
113.6706,-3.308,0,0,0,0->0,0,0,0,0
113.3876,-3.3036,4,3,1,4->3,0,0,0,1
113.3607,-3.2991,4,4,0,4->4,0,0,0,0
113.6122,-3.2991,4,4,0,4->4,0,0,0,0
