year,class,proportion
2018,Forest,63.518287614297584
2018,Shrubland/Agriculture,24.147963424771405
2018,Water,9.517871986699916
2018,Built-up,2.0157938487115548
2018,Bare/Mining-like,0.8000831255195345
2019,Forest,63.092269326683294
2019,Shrubland/Agriculture,24.594763092269325
2019,Water,9.621778886118037
2019,Built-up,2.3898586866167912
2019,Bare/Mining-like,0.30133000831255197
2020,Forest,62.80133000831255
2020,Shrubland/Agriculture,25.529925187032422
2020,Water,9.642560266001663
2020,Built-up,1.7248545303408147
2020,Bare/Mining-like,0.30133000831255197
2021,Forest,64.24563591022444
2021,Shrubland/Agriculture,23.711554447215295
2021,Water,9.694513715710723
2021,Built-up,2.0469659185369906
2021,Bare/Mining-like,0.30133000831255197
2022,Forest,68.79675810473816
2022,Shrubland/Agriculture,18.19409808811305
2022,Water,9.819201995012468
2022,Built-up,2.4833748960931006
2022,Bare/Mining-like,0.7065669160432253
2023,Forest,67.67456359102243
2023,Shrubland/Agriculture,18.68246051537822
2023,Water,9.663341645885287
2023,Built-up,3.3354114713216956
2023,Bare/Mining-like,0.6442227763923525
2024,Forest,63.84039900249376
2024,Shrubland/Agriculture,23.59725685785536
2024,Water,9.663341645885287
2024,Built-up,2.5457190357439736
2024,Bare/Mining-like,0.35328345802161265
