lon,lat,predicted_label_2019,predicted_label_2024,changed
115.3998,-3.847,Forest,Forest,False
115.4133,-3.847,Shrubland/Agriculture,Forest,True
115.4178,-3.847,Shrubland/Agriculture,Forest,True
115.4986,-3.8291,Water,Water,False
115.4133,-3.8246,Shrubland/Agriculture,Shrubland/Agriculture,False
115.4268,-3.8201,Shrubland/Agriculture,Shrubland/Agriculture,False
115.4492,-3.8201,Shrubland/Agriculture,Shrubland/Agriculture,False
115.3998,-3.8156,Shrubland/Agriculture,Forest,True
115.5391,-3.8156,Water,Water,False
115.4043,-3.8111,Shrubland/Agriculture,Forest,True
115.4447,-3.8021,Shrubland/Agriculture,Shrubland/Agriculture,False
115.4807,-3.8021,Bare/Mining-like,Bare/Mining-like,False
115.5076,-3.8021,Shrubland/Agriculture,Forest,True
115.5346,-3.8021,Water,Water,False
115.5436,-3.8021,Water,Water,False
115.4088,-3.7931,Shrubland/Agriculture,Built-up,True
115.5256,-3.7931,Forest,Forest,False
115.5436,-3.7931,Water,Water,False
115.593,-3.7931,Water,Water,False
115.4178,-3.7886,Shrubland/Agriculture,Built-up,True
115.4582,-3.7886,Forest,Forest,False
115.5436,-3.7886,Shrubland/Agriculture,Forest,True
115.566,-3.7886,Water,Water,False
115.4762,-3.7842,Shrubland/Agriculture,Shrubland/Agriculture,False
115.4897,-3.7842,Forest,Forest,False
115.575,-3.7842,Water,Water,False
115.6109,-3.7842,Water,Water,False
115.557,-3.7797,Shrubland/Agriculture,Shrubland/Agriculture,False
115.566,-3.7797,Shrubland/Agriculture,Water,True
115.5975,-3.7797,Water,Water,False
115.4133,-3.7752,Shrubland/Agriculture,Built-up,True
115.4223,-3.7752,Shrubland/Agriculture,Shrubland/Agriculture,False
115.5391,-3.7752,Shrubland/Agriculture,Shrubland/Agriculture,False
115.5436,-3.7752,Shrubland/Agriculture,Shrubland/Agriculture,False
115.593,-3.7752,Water,Water,False
115.3998,-3.7707,Shrubland/Agriculture,Built-up,True
115.4492,-3.7707,Shrubland/Agriculture,Shrubland/Agriculture,False
115.4537,-3.7707,Shrubland/Agriculture,Shrubland/Agriculture,False
115.4582,-3.7707,Forest,Forest,False
115.4717,-3.7707,Forest,Forest,False
115.4986,-3.7707,Forest,Forest,False
115.5076,-3.7707,Water,Shrubland/Agriculture,True
115.5301,-3.7707,Shrubland/Agriculture,Forest,True
115.5436,-3.7707,Shrubland/Agriculture,Forest,True
115.4088,-3.7662,Water,Built-up,True
