year,class_id,class_name,count,percentage,n_total
2019,0,Forest,86464,72.6936,118943
2019,1,Shrubland/Agriculture,23493,19.7515,118943
2019,2,Built-up,2405,2.022,118943
2019,3,Bare/Mining-like,481,0.4044,118943
2019,4,Water,6100,5.1285,118943
2020,0,Forest,87233,73.3402,118943
2020,1,Shrubland/Agriculture,23418,19.6884,118943
2020,2,Built-up,1659,1.3948,118943
2020,3,Bare/Mining-like,491,0.4128,118943
2020,4,Water,6142,5.1638,118943
2021,0,Forest,88996,74.8224,118943
2021,1,Shrubland/Agriculture,21383,17.9775,118943
2021,2,Built-up,1710,1.4377,118943
2021,3,Bare/Mining-like,524,0.4405,118943
2021,4,Water,6330,5.3219,118943
2022,0,Forest,92857,78.0685,118943
2022,1,Shrubland/Agriculture,17202,14.4624,118943
2022,2,Built-up,1673,1.4066,118943
2022,3,Bare/Mining-like,794,0.6675,118943
2022,4,Water,6417,5.395,118943
2023,0,Forest,89858,75.5471,118943
2023,1,Shrubland/Agriculture,19426,16.3322,118943
2023,2,Built-up,2643,2.2221,118943
2023,3,Bare/Mining-like,846,0.7113,118943
2023,4,Water,6170,5.1874,118943
2024,0,Forest,89851,75.5412,118943
2024,1,Shrubland/Agriculture,20358,17.1158,118943
2024,2,Built-up,1958,1.6462,118943
2024,3,Bare/Mining-like,571,0.4801,118943
2024,4,Water,6205,5.2168,118943
